Year,Month,Day,Title,Summary,Story,Categories,Tags,Rebbe,Sources
1515,,,Azharot of ibn Gabirol first printed in Constantinople,"Solomon ibn Gabirol's Azharot, with Rashbatz's Zohar HaRakia commentary, was first printed in Constantinople in 1515.","R. Shlomo ibn Gabirol of Spain (c.1020-1057) composed the Azharot, a poetic enumeration of the commandments. R. Shimon b. Tzemach Duran (Rashbatz, Algeria 1361-1444) wrote on it the commentary Zohar HaRakia, and the two were issued together in their first edition in Constantinople in 5275 (1515).",publication,"constantinople, ibn gabirol, spain, rashbatz, poetry",,Chabad Library/תערוכות_הספריה
1515,,,Kad HaKemach first printed in Constantinople,Rabbenu Bachya b. Asher's Kad HaKemach was first printed in Constantinople in 1515.,"R. Bachya b. Asher of Spain (1255-c.1340), in addition to his Torah commentary, composed Kad HaKemach, alphabetically arranged homilies on the principles of Torah and the commandments. Its first edition appeared in Constantinople in 5275 (1515).",publication,"constantinople, rabbenu bachya, spain, homiletics",,Chabad Library/תערוכות_הספריה
1515,,,Kitzur Piskei HaRosh printed in Constantinople,"In 5275 (1515), Kitzur Piskei HaRosh — Rabbi Yaakov Ba'al HaTurim's abridgement of his father's halachic rulings — was printed in Constantinople.","In 5275 (1515), Kitzur Piskei HaRosh was printed as a standalone book in Constantinople. Composed by Rabbi Yaakov Ba'al HaTurim as a digest of his father the Rosh's rulings, it was later usually printed bound with the Rosh itself.",publication,"constantinople, ottoman empire, rosh, baal haturim, halacha",,Chabad Library/תערוכות_הספריה
1516,,,Fez Hebrew printing house founded,"In 5276 (1516), refugees from Spain established a Hebrew printing press in Fez, Morocco.","In 5276 (1516), Sephardic refugees who had settled in Fez, Morocco established a Hebrew printing house there. The press operated only a few years but produced several volumes, including an edition of the Arba'ah Turim in 5280 (1520).",publication,"morocco, fez, north africa, sephardim",,Chabad Library/תערוכות_הספריה
1516,,,Rabbeinu Yerucham's Toldot Adam ve-Chava printed in Constantinople,"In 5276 (1516), Rabbeinu Yerucham's halachic compendium Toldot Adam ve-Chava was printed for the first time in Constantinople.","In 5276 (1516), Rabbeinu Yerucham ben Meshullam's Toldot Adam ve-Chava was printed for the first time, in Constantinople. Rabbeinu Yerucham was a student of the Rosh from Provence, and his halachic compendium is among the foundational pre-Tur codes.",publication,"constantinople, ottoman empire, rabbeinu yerucham, halacha",,Chabad Library/תערוכות_הספריה
1517,,,Daniel Bomberg founds Hebrew press in Venice,"In 5277 (1517), Daniel Bomberg founded the largest Hebrew printing house of the era in Venice.","In 5277 (1517), the Christian printer Daniel Bomberg founded his Hebrew printing house in Venice — the largest Hebrew press of the era. Over the next three decades he printed numerous editions of the Bible and the complete Talmud, setting the standard page layout still used today.",publication,"italy, venice, bomberg, incunabula",,Chabad Library/תערוכות_הספריה
1517,,,Responsa of the Rosh printed in Constantinople,"In 5277 (1517), the responsa of Rabbeinu Asher (the Rosh) were printed in Constantinople, organized into 108 thematic sections.","In 5277 (1517), the responsa of Rabbeinu Asher (the Rosh) were printed in Constantinople. They were arranged in 108 thematic 'kelalim,' with each kelal containing multiple responsa, and became a foundational responsa collection.",publication,"constantinople, ottoman empire, rosh, responsa",,Chabad Library/תערוכות_הספריה
1517,,,Sefer HaAruch printed in Pesaro,R. Natan of Rome's Sefer HaAruch was printed in Pesaro in 5277 (1517).,"R. Natan b. Yechiel of Rome (c.1035-1110) compiled the Aruch, an alphabetical dictionary of difficult Talmudic terms. The Pesaro edition of 5277 (1517) is preserved in the library.",publication,"pesaro, italy, natan of rome, lexicography, talmud",,Chabad Library/תערוכות_הספריה
1517,,,Teshuvot HaRambam printed in Constantinople,"In 5277 (1517), a collection of Rambam's responsa and letters was printed in Constantinople.","In 5277 (1517), a collection of Rambam's responsa, queries, and letters was printed in Constantinople. It was among the first published anthologies of Maimonidean correspondence.",publication,"constantinople, ottoman empire, rambam, responsa",,Chabad Library/תערוכות_הספריה
1518,,,Bomberg prints Tehillim-Iyov in Venice,"In 5278 (1518), Daniel Bomberg printed a Tehillim-Iyov volume in Venice.","In 5278 (1518), Daniel Bomberg printed a Tehillim and Iyov volume at his Venice press. It formed part of his early Bible output, which he produced in multiple editions over the following years.",publication,"italy, venice, bomberg, tanakh",,Chabad Library/תערוכות_הספריה
1518,,,Megillat Esther with Akedat Yitzchak commentary printed in Constantinople,"In 5278 (1518), Shmuel Nachmias printed Megillat Esther with Rabbi Yitzchak Arama's Akedat Yitzchak commentary in Constantinople — his last imprint.","In 5278 (1518), Shmuel Nachmias, son of David Nachmias, printed his final book — Megillat Esther with the commentary of Rabbi Yitzchak Arama (Akedat Yitzchak), one of the Spanish exiles. The Nachmias brothers had founded the first Hebrew press in Constantinople after the 1492 expulsion.",publication,"constantinople, ottoman empire, nachmias, megillat esther, akedat yitzchak",,Chabad Library/תערוכות_הספריה
1519,,,Responsa attributed to Ramban printed in Venice,"In 5279 (1519), a collection of 288 responsa was printed in Venice under the (mistaken) attribution to Ramban.","In 5279 (1519), a volume titled 'Teshuvot leRabbeinu Moshe ben Nachman' containing 288 responsa was printed in Venice. The responsa were actually those of the Rashba but had been mistakenly attributed to Ramban; the volume is counted as part 8 of the Rashba responsa series.",publication,"italy, venice, rashba, responsa, misattribution",,Chabad Library/תערוכות_הספריה
1519,,,Responsa of Maharik printed in Venice,"In 5279 (1519), the responsa of Rabbi Yosef Colon (Maharik) were collected and printed in Venice.","In 5279 (1519), the responsa of Rabbi Yosef Colon (Maharik), one of the leading 15th-century Italian poskim, were printed in Venice. The volume gathered his halachic rulings for the first time in print.",publication,"italy, venice, maharik, responsa",,Chabad Library/תערוכות_הספריה
1520,,,Bomberg prints first complete Talmud in Venice,"Between 5280–5283 (1520–1523), Daniel Bomberg printed the first complete edition of the Talmud in Venice — setting the standard page layout used ever since.","Between 5280 and 5283 (1520–1523), Daniel Bomberg produced the first complete printed edition of the Babylonian Talmud at his Venice press, including Rashi and Tosafot on every page. This edition established the standard pagination of the Talmud, which has been retained by virtually every subsequent edition; standard citations of folio and side derive from it.",publication,"italy, venice, bomberg, talmud",,Chabad Library/תערוכות_הספריה
1520,,,Gershom Soncino founds Rimini press,"In 5280 (1520), Gershom Soncino founded a Hebrew printing house in Rimini.","In 5280 (1520), the wandering printer Gershom Soncino established a new Hebrew printing house in Rimini, Italy. Six years later he would print there the Sefer Ha-Agur of Rabbi Yaakov Landau.",publication,"italy, rimini, gershom soncino",,Chabad Library/תערוכות_הספריה
1520,,,"Tur printed in Fez, Morocco","In 5280 (1520), the Arba'ah Turim was printed at the Hebrew press in Fez, Morocco.","In 5280 (1520), the Arba'ah Turim of Rabbi Yaakov ben Asher was printed at the Hebrew press in Fez, Morocco. Several leaves of this Fez edition, recovered from book bindings, survive in the Chabad Library archive.",publication,"morocco, fez, tur, halacha",,Chabad Library/תערוכות_הספריה
1521,,,Bomberg prints Rif with commentaries in Venice,"In 5281 (1521), Daniel Bomberg printed the Rif in Venice with its commentaries and the Mordechai and Tosefta appended.","In 5281 (1521), Daniel Bomberg printed an edition of the Hilchot Rav Alfas (Rif) in Venice. The multi-volume edition included the commentaries on the Rif, with the Mordechai and Tosefta appended at the end of each tractate.",publication,"italy, venice, bomberg, rif, mordechai, tosefta",,Chabad Library/תערוכות_הספריה
1521,,,First documented mention of the town of Lubavitch,"The earliest known document referencing the town of Lubavitch dates to 5281 (1521), placing its founding to roughly 500 years ago.","Lubavitch sat in the contested borderlands between Russia and Poland. Its first appearance in surviving records is from 1521. By tradition, the town was founded by a hidden tzaddik named R' Meir, and the name Lubavitch (from the Russian for love) reflected his character.","location, general","lubavitch, russia, poland, founding, smolensk",,Chabad Library/תולדות_חב״ד_ברוסיה
1521,,,Vasili III of Russia cedes Smolensk-region towns including Lubavitch to Poland,"In 5281 (1521) Tsar Vasili III signed an agreement transferring several Smolensk-area towns, including Lubavitch, to Poland.","Lubavitch lay on the disputed frontier between the Russian and Polish states, which repeatedly fought over the region. Vasili III's 1521 accord briefly placed Lubavitch under Polish rule. The town's borderland status shaped its mixed Russian-Polish-Belarusian character for centuries.","general, conflict","russia, poland, treaty, smolensk, vasili-iii",,Chabad Library/תולדות_חב״ד_ברוסיה
1521,,,Vasili III signs treaty transferring Lubavitch to Poland,"Vasili III of Russia signed an agreement transferring several towns in the Smolensk region, including Lubavitch, to Poland.","The first known documentary mention of the town of Lubavitch appears in this 1521 treaty. At that time, Lubavitch sat near the contested border between Russia and Poland, an area subject to repeated wars and shifting sovereignty. The Smolensk region towns named in the agreement included Lubavitch among them.","location, general","russia, poland, vasili-iii, smolensk, lubavitch",,Chabad Library/ליובאוויטש
1522,,,Derech Emunah by Avraham Bibago printed in Constantinople,R. Avraham Bibago's philosophical treatise Derech Emunah was printed in Constantinople in 1522.,"R. Avraham Bibago lived in Spain in the years preceding the expulsion and authored Derech Emunah, philosophical investigations into matters of faith and religion. The work was printed in Constantinople in 5282 (1522).",publication,"constantinople, bibago, spain, philosophy",,Chabad Library/תערוכות_הספריה
1522,,,Sefer HaIkkarim printed in Rimini,R. Yosef Albo's Sefer HaIkkarim was printed in Rimini in 1522.,"R. Yosef Albo, who lived in Spain in the second century of the sixth millennium, composed Sefer HaIkkarim, a systematic exposition of Jewish dogmatic principles. The Rimini edition of 5282 (1522) is among the early printings preserved in the library.",publication,"rimini, italy, yosef albo, philosophy, spain",,Chabad Library/תערוכות_הספריה
1524,,,Bomberg prints Rambam's Mishneh Torah in Venice,"In 5284 (1524), Daniel Bomberg printed an edition of Rambam's Mishneh Torah with commentaries in Venice.","In 5284 (1524), Daniel Bomberg printed an edition of Rambam's Mishneh Torah in Venice, accompanied by its standard commentaries. The edition was part of the Venice press's run of major rabbinic works in the 1520s.",publication,"italy, venice, bomberg, rambam, mishneh torah",,Chabad Library/תערוכות_הספריה
1524,,,Concordance Meir Nativ printed in Venice,R. Yitzchak b. Kalonymus Natan's Meir Nativ concordance was first printed in Venice in 1524.,"The Hebrew biblical concordance, also called Meir Nativ, was compiled by R. Yitzchak b. Kalonymus Natan to index Hebrew word-roots with their Tanach references. Its first edition was issued at Daniel Bomberg's Venice press in 5284 (1524).",publication,"venice, bomberg, concordance, tanakh, yitzchak natan",,Chabad Library/תערוכות_הספריה
1525,,,Bomberg prints Mikraot Gedolot Torah in Venice,"In 5285 (1525), Bomberg printed a Mikraot Gedolot Torah volume in Venice with multiple commentaries and the Greater and Lesser Masorah.","In 5285 (1525), Daniel Bomberg printed a volume of the Torah as part of the Mikraot Gedolot series at his Venice press. The volume included multiple commentaries together with the Greater and Lesser Masorah.",publication,"italy, venice, bomberg, mikraot gedolot, masorah",,Chabad Library/תערוכות_הספריה
1525,,,Hebrew grammar printed in Basel,A Hebrew grammar was printed in Basel in 5285 (1525).,Among the early grammar works in the library is the Basel printing of 5285 (1525).,publication,"basel, switzerland, grammar, hebrew",,Chabad Library/תערוכות_הספריה
1526,,,Sefer Ha-Agur printed in Rimini by Gershom Soncino,"In 5286 (1526), Gershom Soncino printed Rabbi Yaakov Landau's halachic work Sefer Ha-Agur in Rimini.","In 5286 (1526), Gershom Soncino printed Sefer Ha-Agur of Rabbi Yaakov Landau at his Rimini press. Landau, a German halachist who had earlier served as proofreader at the Naples press, had first issued the book in Naples; the Rimini edition followed.",publication,"italy, rimini, gershom soncino, agur, yaakov landau",,Chabad Library/תערוכות_הספריה
1530,,,Krakow Hebrew printing house founded,"In 5290 (1530), a Hebrew printing house was established in Krakow, Poland, which printed the Tur among its first books.","In 5290 (1530), Jews who had settled in Poland after the Iberian expulsions established a Hebrew printing house in Krakow. Among its first publications was an edition of the Arba'ah Turim, which was reprinted there in 5299 (1539).",publication,"poland, krakow, halicz, tur",,Chabad Library/תערוכות_הספריה
1535,,,Machbarot Imanuel printed in Constantinople,Machbarot Imanuel was printed in Constantinople in 5295 (1535).,The poetic Machbarot Imanuel of Immanuel of Rome was issued in Constantinople in 5295 (1535).,publication,"constantinople, immanuel of rome, poetry",,Chabad Library/תערוכות_הספריה
1538,,,Torah Or by ibn Yachya printed in Bologna,R. Don Yosef ibn Yachya's Torah Or was printed in Bologna in 1538.,"Don Yosef ibn Yachya, an exile of the 1497 expulsion from Portugal, composed Torah Or on the soul's ultimate felicity and on the doctrines of Gan Eden, Gehinnom, and the World to Come. It was printed in Bologna in 5298 (1538).",publication,"bologna, ibn yachya, portugal exile, philosophy",,Chabad Library/תערוכות_הספריה
1539,,,"Shu""t HaRashba printed in Bologna","In 5299 (1539), the first volume of Shu""t HaRashba — containing 1,255 responsa — was printed in Bologna.","In 5299 (1539), a volume of 'Teshuvot She'elot' by Rabbi Shlomo ibn Aderet (Rashba) containing 1,255 responsa was printed in Bologna. It became part 1 of the Rashba responsa series, joining the body of his thousands of rulings on questions sent to him from across the Jewish world.",publication,"italy, bologna, rashba, responsa",,Chabad Library/תערוכות_הספריה
1539,,,Tur reprinted in Krakow,"In 5299 (1539), the Arba'ah Turim was reprinted in Krakow.","In 5299 (1539), the Arba'ah Turim of Rabbi Yaakov ben Asher was printed for the second time at the Krakow Hebrew press, nearly a decade after the press was founded. The volume is preserved in the Chabad Library exhibition.",publication,"poland, krakow, tur, halacha",,Chabad Library/תערוכות_הספריה
1540,,,Machzor according to the Roman rite printed in Bologna,A Roman-rite machzor with R. Yochanan Treves's Kimcha De'avishuna commentary was printed in Bologna in 1540.,"Early printers issued machzorim with distinct texts for each community. The Bologna edition of 5300 (1540) followed the Roman rite (k""k Roma) and included the Kimcha De'avishuna commentary of R. Yochanan Treves.","publication, calendar","bologna, italy, roman rite, machzor, kimcha de'avishuna",,Chabad Library/תערוכות_הספריה
1544,,,Compact pocket Tanakh printed in Paris by Robert Estienne,"Between 5304–5305 (1544–1545), the printer Robert Estienne (Robertus Stephanus) produced a compact pocket Tanakh in Paris.","Between 5304 and 5305 (1544–1545), the Paris printer Robert Estienne (Robertus Stephanus) produced a small-format pocket edition of the Tanakh, without translation or commentary. It was issued in parallel to the larger Mikraot Gedolot editions then being produced in Italy.",publication,"france, paris, robert estienne, tanakh",,Chabad Library/תערוכות_הספריה
1545,2,,SMaK parchment manuscript purchased,A parchment manuscript of Sefer Mitzvot Katan with Rabbenu Peretz's glosses was purchased on 26 Shevat 5305 (1545).,The library preserves an early Ashkenazi parchment copy of R. Yitzchak of Corbeil's SMaK (Amudei Golah) together with the glosses of his student R. Peretz of Corbeil. An owner inscription records its purchase on 26 Shevat 5305 (February 1545). It is catalogued as archive manuscript 1956.,publication,"smak, manuscript, parchment, ashkenaz, library archive 1956",,Chabad Library/תערוכות_הספריה
1548,,,Sefer Sha'arei Dura printed in Venice,"In 5308 (1548), Sefer Sha'arei Dura — the medieval halachic compendium on the laws of forbidden mixtures — was printed in Venice.","In 5308 (1548), Sefer Sha'arei Dura was printed in Venice. The work, a medieval Ashkenazic compendium primarily on the laws of forbidden mixtures and ritual matters, was widely used by halachic decisors.",publication,"italy, venice, shaarei dura, halacha",,Chabad Library/תערוכות_הספריה
1549,,,Responsa of Mahari Weil printed in Venice,"In 5309 (1549), the responsa of Rabbi Yaakov Weil (Mahari Weil) were printed in Venice.","In 5309 (1549), the responsa of Rabbi Yaakov Weil (Mahari Weil), one of the foremost halachic decisors in 15th-century Ashkenaz and a student of the Maharil, were collected and printed in Venice.",publication,"italy, venice, mahari weil, responsa",,Chabad Library/תערוכות_הספריה
1550,,,Bragadin and Justinian Rambam controversy in Venice,"In 5310 (1550), competing Venice printers Bragadin and Justinian issued rival editions of Rambam, igniting a fierce controversy and a cherem from the Rema.","In 5310 (1550), the rival Venetian printers Bragadin and Justinian both issued editions of Rambam's Mishneh Torah. Bragadin's edition included new glosses by Maharam of Padua; Justinian pirated those glosses, reprinted them, and undersold his competitor. The dispute convulsed the Jewish world, and the Rema (R. Moshe Isserles) issued a cherem against anyone who purchased the Justinian edition.","publication, conflict","italy, venice, bragadin, justinian, rambam, maharam padua, rema, cherem",,Chabad Library/תערוכות_הספריה
1550,,,Justinian Rambam printed in Venice (pirated edition),"In 5310 (1550), Justinian published a competing, pirated Rambam edition in Venice, copying Maharam Padua's glosses and undercutting Bragadin's price.","In 5310 (1550), as Bragadin began printing his edition of Rambam in Venice, the rival printer Justinian copied Maharam of Padua's glosses without authorization and rushed out his own edition at a lower price. The dispute became one of the most consequential printing controversies of the era and prompted the Rema's cherem against purchasing the pirated edition.","publication, conflict","italy, venice, justinian, rambam, maharam padua, rema",,Chabad Library/תערוכות_הספריה
1550,,,Machzor printed in Salonika,A machzor was printed in Salonika in 5310 (1550).,"Among the early machzorim preserved in the library is the Salonika edition of 5310 (1550), representing the rite of one of the Ottoman Jewish communities.",publication,"salonika, ottoman empire, machzor",,Chabad Library/תערוכות_הספריה
1550,,,Tur with Beit Yosef first printed in Venice,"In 5310 (1550), the Arba'ah Turim was printed for the first time alongside Rabbi Yosef Karo's Beit Yosef commentary in Venice.","In 5310 (1550), the Arba'ah Turim was printed in Venice together with Rabbi Yosef Karo's Beit Yosef commentary for the first time. This edition would establish the standard pairing of the Tur and Beit Yosef in subsequent printings.",publication,"italy, venice, tur, beit yosef, yosef karo",,Chabad Library/תערוכות_הספריה
1551,,,Tuviah Foa founds Sabbioneta Hebrew press,"In 5311 (1551), Tuviah Foa established the Hebrew printing house in Sabbioneta, Italy.","In 5311 (1551), the printer Tuviah Foa founded the Hebrew printing house in Sabbioneta, Italy. Two years later it began printing the Talmud with additions and annotations, a project halted by the 1553 papal decree to burn the Talmud.",publication,"italy, sabbioneta, tuviah foa",,Chabad Library/תערוכות_הספריה
1552,,,Bragadin Rif printed in Venice,"In 5312 (1552), the Bragadin press in Venice printed an edition of the Rif — its last Venetian edition.","In 5312 (1552), the Bragadin press in Venice printed what would be the last Venetian edition of the Rif. The Chabad Library copy bears many marginal Italian-script glosses by an unidentified annotator.",publication,"italy, venice, bragadin, rif",,Chabad Library/תערוכות_הספריה
1553,,,Pope orders burning of the Talmud across Italy,"In 5313 (1553), an apostate-driven denunciation led the Pope to decree that all copies of the Talmud in Italy be burned, with harsh penalties for possession.","In 5313 (1553), apostates denounced the Talmud to the Pope, who decreed that all copies of the Talmud in every Italian state be burned, with severe penalties for anyone retaining tractates. The decree halted the Sabbioneta Talmud project and forced Italian Jews to substitute study of the Rif — which presents the Talmud's halachic conclusions — in place of the Talmud itself.",conflict,"italy, pope, talmud burning, censorship, apostates",,Chabad Library/תערוכות_הספריה
1553,,,Sabbioneta prints Moreh Nevuchim,"In 5313 (1553), Tuviah Foa's Sabbioneta press printed Rambam's Moreh Nevuchim.","In 5313 (1553), the Sabbioneta press of Tuviah Foa printed Rambam's philosophical magnum opus, Moreh Nevuchim. The volume appeared the same year that the papal decree forced the Italian presses to abandon Talmud production.",publication,"italy, sabbioneta, rambam, moreh nevuchim, philosophy",,Chabad Library/תערוכות_הספריה
1554,,,Sabbioneta prints Rif with Shiltei HaGiborim,"In 5314 (1554), Tuviah Foa's Sabbioneta press issued an edition of the Rif with Rabbi Yehoshua Boaz's Shiltei HaGiborim.","In 5314 (1554), with Talmud printing forbidden by papal decree, Tuviah Foa's Sabbioneta press shifted to printing the Rif. The edition was edited by Rabbi Yehoshua Boaz and included his newly composed Shiltei HaGiborim along with substantial marginal additions.",publication,"italy, sabbioneta, rif, yehoshua boaz, shiltei haggiborim",,Chabad Library/תערוכות_הספריה
1556,,,"Cremona Hebrew press founded; prints Shu""t Maharil","In 5316 (1556), Vincenzo Conti founded the Hebrew printing house in Cremona, and printed Shu""t Maharil there that same year.","In 5316 (1556), Vincenzo Conti established the Hebrew printing house in Cremona, Italy. That same year he printed Shu""t Maharil — the responsa of Rabbi Yaakov Halevi Molin, the leading Ashkenazi halachist and arbiter of customs in his generation.",publication,"italy, cremona, vincenzo conti, maharil, responsa",,Chabad Library/תערוכות_הספריה
1556,,,Ivan the Terrible signs treaty affecting Smolensk-region towns,Ivan the Terrible signed an agreement similar to the 1521 treaty involving the Smolensk-area towns near Lubavitch.,A second documentary reference places Lubavitch within the contested Russian-Polish frontier zone during the mid-16th century. The agreement reaffirmed the ongoing diplomatic tensions over towns in the Smolensk area. These early documents form part of the small surviving record of the town's pre-Chassidic existence.,"location, general","russia, poland, ivan-the-terrible, smolensk",,Chabad Library/ליובאוויטש
1556,,,Ivan the Terrible signs treaty transferring Smolensk-area towns to Poland,"In 5316 (1556) Ivan the Terrible signed an agreement similar to Vasili III's, again transferring border towns including the Lubavitch area to Poland.",The borderlands containing Lubavitch repeatedly changed hands between Russia and Poland in treaty negotiations. Ivan IV's 1556 accord echoed the 1521 transfer. The recurring border shifts left a complex political legacy in the region.,general,"russia, poland, treaty, ivan-the-terrible, smolensk",,Chabad Library/תולדות_חב״ד_ברוסיה
1556,,,Vincenzo Conti opens Hebrew press in Cremona,"Vincenzo Conti opened his Hebrew printing house in Cremona in 1556, issuing the SMaK that same year.","In 5316 (1556) Vincenzo Conti established the Hebrew press in Cremona. In its inaugural year the house produced an edition of Sefer Mitzvot Katan, beginning a printing program that would soon include the celebrated Cremona Zohar.","publication, organization","cremona, italy, vincenzo conti, printing",,Chabad Library/תערוכות_הספריה
1557,,,Mantua machzor printing begins,Printing of a Roman-rite machzor began in Mantua in 5317 (1557).,"The Mantua edition of the Roman-rite machzor was a multi-year project, beginning in 5317 (1557) and finishing only in 5320 (1560).",publication,"mantua, machzor, roman rite",,Chabad Library/תערוכות_הספריה
1558,,,Cremona printing of the Zohar,A parallel edition of the Zohar was printed at Vincenzo Conti's press in Cremona in 1558.,"Concurrent with the Mantua edition, the Zohar was printed at the Cremona house of Vincenzo Conti in a larger format with textual variants from the Mantua text, known as the Zohar Gadol. This Cremona text was reprinted twice more, in Lublin (1623-4) and Sulzbach (1684).",publication,"cremona, zohar, kabbalah, vincenzo conti, zohar gadol",,Chabad Library/תערוכות_הספריה
1558,,,First printing of the Zohar in Mantua,The first edition of the Zohar was printed in Mantua between 1558 and 1560.,"The Zohar of Rashbi was first printed in 5318-5320 (1558-1560). The Mantua edition was produced at the press of R. Meir b. Efraim of Padua and R. Yaakov b. Naftali of Gazzuolo, and it became the textual basis for most subsequent printings of the Zohar.",publication,"mantua, zohar, kabbalah, rashbi, meir of padua",,Chabad Library/תערוכות_הספריה
1558,,,Maarechet HaElokut printed in Ferrara,Maarechet HaElokut with R. Yehuda Chayyat's Minchat Yehuda commentary was printed in Ferrara in 1558.,"R. Peretz HaKohen of Spain (1305-1370), a Talmudic commentator and kabbalist, authored Maarechet HaElokut. R. Yehuda Chayyat, an exile of the Spanish expulsion who helped disseminate Kabbalah in Italy, wrote the commentary Minchat Yehuda upon it. The combined work was printed in Ferrara in 5318 (1558).",publication,"ferrara, italy, kabbalah, yehuda chayyat, spain exile",,Chabad Library/תערוכות_הספריה
1558,,,Maarechet HaElokut printed in Mantua,"Maarechet HaElokut was also printed in Mantua the same year, 1558.","Parallel to the Ferrara edition, Maarechet HaElokut with Minchat Yehuda was issued in Mantua in 5318 (1558).",publication,"mantua, kabbalah, yehuda chayyat, minchat yehuda",,Chabad Library/תערוכות_הספריה
1558,,,Riva di Trento Hebrew press founded,"In 5318 (1558), Rabbi Yosef Ottolenghi and Rabbi Yaakov Marcaria founded the Hebrew printing house in Riva di Trento; its first book was the Rif.","In 5318 (1558), Rabbi Yosef Ottolenghi and Rabbi Yaakov Marcaria founded the Hebrew printing house in Riva di Trento, Italy. It operated for four years; its first imprint was an edition of the Rif in a smaller format than the preceding Sabbioneta edition.",publication,"italy, riva di trento, ottolenghi, marcaria, rif",,Chabad Library/תערוכות_הספריה
